"filename", "language", "YAML", "Cairo", "Markdown", "Rust", "JSON", "Shell Script", "comment", "blank", "total"
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/assert_eq_opcode_double_deref/component.rs", "Rust", 0, 0, 0, -184, 0, 0, -5, -22, -211
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/assert_eq_opcode_double_deref/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/assert_eq_opcode_double_deref/prover.rs", "Rust", 0, 0, 0, -470, 0, 0, -5, -33, -508
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/assert_eq_opcode_imm/component.rs", "Rust", 0, 0, 0, -147, 0, 0, -3, -19, -169
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/assert_eq_opcode_imm/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/assert_eq_opcode_imm/prover.rs", "Rust", 0, 0, 0, -337, 0, 0, -4, -30, -371
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode/component.rs", "Rust", 0, 0, 0, -200, 0, 0, -6, -26, -232
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode/prover.rs", "Rust", 0, 0, 0, -476, 0, 0, -6, -35, -517
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode_op_1_base_fp/component.rs", "Rust", 0, 0, 0, -200, 0, 0, -6, -26, -232
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode_op_1_base_fp/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode_op_1_base_fp/prover.rs", "Rust", 0, 0, 0, -479, 0, 0, -6, -35, -520
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode_rel/component.rs", "Rust", 0, 0, 0, -241, 0, 0, -10, -28, -279
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode_rel/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/call_opcode_rel/prover.rs", "Rust", 0, 0, 0, -475, 0, 0, -7, -38, -520
